Sensor_Labels,Sensor_Values
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 173, 562, 176, 1396]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 319, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 1097, 160, 859, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 554, 130, 610, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 210, 4095, 155, 458]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 1486, 186, 2559, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 274, 198, 327, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 973, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 350, 155, 487, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 381, 4095, 145, 240]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 227, 144, 327, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 186, 4095, 111, 258]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 714, 127, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 380, 247, 320, 3210]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 297, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 1828, 2812]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 626, 147, 1659, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 1087]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 1104, 160, 1104, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 137, 295, 176, 1059]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 176, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 748, 144, 993, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 153, 137, 686, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[2110, 4095, 218, 2971, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 463, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 294, 304, 268, 1706]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 341, 192, 389, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 838, 4095, 199, 398]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 299, 123, 673, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 606, 787]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 2102, 208, 896, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 1812, 4095, 435, 479]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 311, 265, 286, 898]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 1715]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 410, 271, 361, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 4095, 4095, 4095, 4095]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 477, 208, 439, 3382]"
"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4095, 1866, 4095, 4095, 4095]"
