Timestamp,Sensor1(kgf),Sensor2,Sensor3,Sensor4,Sensor5,,Sensor1(kgf),Sensor2,Sensor3,Sensor4,Sensor5
11:44.3,2.25212,9.9918,2.04716,9.9918,9.9918,,,,,,
11:45.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
11:46.3,0.71492,0.64172,0.31964,1.23708,3.8186,,,,,,
11:47.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
11:48.3,0.42944,0.549,0.34648,1.05408,6.40256,,,,,,
11:49.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
11:50.3,0.38064,0.74176,0.46604,1.14192,3.02316,,,,,,
11:51.3,1.2932,9.9918,4.56524,9.9918,9.9918,,,,,,
11:52.3,9.9918,3.233,9.9918,2.78404,4.94344,,,,,,
11:53.3,0.27572,0.9638,0.47092,1.58844,4.05772,,,,,,
11:54.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
11:55.3,0.05368,1.403,0.44408,2.29848,9.9918,,,,,,
11:56.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
11:57.3,0.21228,0.5856,0.46848,0.9516,3.47212,,,,,,
11:58.3,0.2318,2.5498,1.12728,6.32936,9.9918,,,,,,
11:59.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:00.3,0.23668,0.60268,0.42944,1.06628,2.77184,,,,,,
12:01.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:02.3,9.9918,2.05448,9.9918,2.06424,4.54328,,,,,,
12:03.3,0.19032,1.0004,0.49776,1.21024,4.96052,,,,,,
12:04.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:05.3,1.159,1.5006,1.52256,5.5754,9.9918,,,,,,
12:06.3,0.30012,0.71248,0.42944,1.21512,2.40584,,,,,,
12:07.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:08.3,0.19032,0.56364,0.37332,1.07116,3.02316,,,,,,
12:09.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:10.3,9.9918,6.04876,9.9918,9.9918,9.9918,,,,,,
12:11.3,0.183,0.61976,0.4392,1.1224,5.63884,,,,,,
12:12.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:13.3,0.2196,0.5124,0.48068,0.854,3.54044,,,,,,
12:14.3,0.35868,4.43836,1.60064,9.9918,9.9918,,,,,,
12:15.3,9.9918,8.65468,9.9918,9.9918,9.9918,,,,,,
12:16.3,0.09272,0.671,0.41236,1.403,9.9918,,,,,,
12:17.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:18.3,0.40748,0.43676,0.44652,0.82228,3.67952,,,,,,
12:19.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:20.3,9.9918,6.00728,9.9918,9.9918,9.9918,,,,,,
12:21.3,0.12932,0.77104,0.31232,1.41764,9.9918,,,,,,
12:22.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:23.3,0.0488,0.81252,0.35624,2.08132,9.9918,,,,,,
12:24.3,0.1952,2.65716,1.17852,9.9918,9.9918,,,,,,
12:25.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:26.3,0.05368,0.92232,0.39772,3.3916,9.9918,,,,,,
12:27.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:28.3,9.9918,0.39772,1.91052,0.55388,1.71776,,,,,,
12:29.3,0.20008,0.77836,0.57828,1.45912,9.9918,,,,,,
12:30.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:31.3,0.04636,0.81984,0.52216,1.45912,9.9918,,,,,,
12:32.3,0.17324,1.80804,1.44692,9.9918,9.9918,,,,,,
12:33.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:34.3,0.24644,0.42212,0.47824,0.83204,4.78972,,,,,,
12:35.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:36.3,9.9918,2.32532,9.9918,1.19316,3.12076,,,,,,
12:37.3,0.1098,0.98332,0.5612,1.35908,5.18256,,,,,,
12:38.3,0.31476,1.65676,1.21024,3.3184,9.9918,,,,,,
12:39.3,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
12:40.4,0.244,0.30988,0.44652,0.70516,3.60632,,,,,,
12:41.3,0.16104,0.4148,0.38796,0.8906,6.04632,,,,,,
12:42.4,9.9918,9.9918,9.9918,9.9918,9.9918,,,,,,
