Timestamp,,Sensor_Values1,,,,,,Min,Max ,Mean,,Max Mean,Max Max
43:24.5,,0,8.32772,6.91984,8.39848,9.19636,,0,9.19636,6.56848,,8.706408,9.85028
43:25.5,,5.87064,9.49892,9.27444,9.21832,9.49404,,5.87064,9.49892,8.671272,,,
43:26.5,,0,0,0,0,0,,0,0,0,,,
43:27.5,,5.93652,9.55016,9.34032,9.03776,9.14512,,5.93652,9.55016,8.601976,,,
43:28.5,,0,0,0,0,0,,0,0,0,,,
43:29.5,,5.99752,9.42816,9.13536,9.29396,9.1012,,5.99752,9.42816,8.59124,,,
43:30.5,,0,0,0,0,0,,0,0,0,,,
43:31.5,,6.06096,9.41596,9.44036,8.53268,8.54732,,6.06096,9.44036,8.399456,,,
43:32.5,,0,0,0,0,0,,0,0,0,,,
43:33.5,,6.21712,9.09388,9.23296,8.58636,8.62296,,6.21712,9.23296,8.350656,,,
43:34.5,,0,0,0,0,0,,0,0,0,,,
43:35.5,,6.05608,8.5644,8.784,8.39116,8.73032,,6.05608,8.784,8.105192,,,
43:36.5,,5.8316,9.39156,9.35496,5.5754,8.94504,,5.5754,9.39156,7.819712,,,
43:37.5,,0,0,0,0,0,,0,0,0,,,
43:38.5,,3.74784,9.5892,8.78644,9.48916,9.60384,,3.74784,9.60384,8.243296,,,
43:39.5,,0,0,0,0,0,,0,0,0,,,
43:40.5,,6.04876,9.09388,9.13292,9.32324,9.32568,,6.04876,9.32568,8.584896,,,
43:41.5,,0,0,0,0,0,,0,0,0,,,
43:42.5,,6.11952,9.05972,9.18904,9.272,8.97676,,6.11952,9.272,8.523408,,,
43:43.5,,0,0,0,0,0,,0,0,0,,,
43:44.5,,5.99508,8.59124,9.4306,4.38224,7.6494,,4.38224,9.4306,7.209712,,,
43:45.5,,5.82672,8.235,7.11016,7.74944,8.32528,,5.82672,8.32528,7.44932,,,
43:46.5,,0,9.48672,9.2232,8.58636,9.27444,,0,9.48672,7.314144,,,
43:47.5,,0,0,0,0,0,,0,0,0,,,
43:48.5,,5.48512,9.59652,9.4428,9.25492,9.39888,,5.48512,9.59652,8.635648,,,
43:49.5,,0,0,0,0,0,,0,0,0,,,
43:50.5,,5.89748,9.52332,9.24272,9.36716,9.28664,,5.89748,9.52332,8.663464,,,
43:51.5,,0,0,0,0,0,,0,0,0,,,
43:52.5,,5.96336,9.5892,9.48428,9.26468,8.8938,,5.96336,9.5892,8.639064,,,
43:53.5,,0,0,0,0,0,,0,0,0,,,
43:54.5,,5.8926,9.11828,8.95236,8.6254,8.91332,,5.8926,9.11828,8.300392,,,
43:55.5,,0,9.64776,8.42532,9.48428,9.71608,,0,9.71608,7.454688,,,
43:56.5,,0,0,0,0,0,,0,0,0,,,
43:57.5,,6.12196,9.36228,9.18416,9.20612,9.0402,,6.12196,9.36228,8.582944,,,
43:58.5,,0,0,0,0,0,,0,0,0,,,
43:59.5,,5.81452,9.48672,9.33056,9.18416,9.04752,,5.81452,9.48672,8.572696,,,
44:00.5,,0,0,0,0,0,,0,0,0,,,
44:01.5,,5.92432,9.52088,9.45256,9.25492,8.03492,,5.92432,9.52088,8.43752,,,
44:02.5,,0,0,0,0,6.53676,,0,6.53676,1.307352,,,
44:03.5,,6.06096,9.09144,9.2842,9.00848,8.12032,,6.06096,9.2842,8.31308,,,
44:04.6,,0,0,0,0,0,,0,0,0,,,
44:05.5,,5.79744,9.46232,9.33056,9.48184,9.12316,,5.79744,9.48184,8.639064,,,
44:06.5,,0,0,0,0,0,,0,0,0,,,
44:07.5,,5.94384,9.48428,9.24516,9.44524,9.01092,,5.94384,9.48428,8.625888,,,
44:08.5,,0,0,0,0,0,,0,0,0,,,
44:09.5,,6.12196,8.27892,8.30088,9.3818,9.52088,,6.12196,9.52088,8.320888,,,
44:10.5,,0,0,0,0,0,,0,0,0,,,
44:11.5,,6.12684,9.11584,8.92796,8.75228,9.32812,,6.12684,9.32812,8.450208,,,
44:12.5,,0,0,0,0,0,,0,0,0,,,
44:13.5,,5.70716,9.49648,9.29884,9.394,9.4062,,5.70716,9.49648,8.660536,,,
44:14.5,,0,0,0,0,0,,0,0,0,,,
44:15.5,,4.59208,9.51112,8.94504,9.5526,9.57212,,4.59208,9.57212,8.434592,,,
44:16.5,,0,0,0,0,0,,0,0,0,,,
44:17.5,,3.70636,9.71852,9.36716,9.49892,9.39644,,3.70636,9.71852,8.33748,,,
44:18.5,,0,0,0,0,0,,0,0,0,,,
44:19.6,,5.97556,9.47452,9.35984,9.41108,9.1378,,5.97556,9.47452,8.67176,,,
44:20.5,,0,0,0,0,0,,0,0,0,,,
44:21.6,,6.08292,9.17928,9.26468,9.36472,9.0768,,6.08292,9.36472,8.59368,,,
44:22.5,,0,0,0,0,0,,0,0,0,,,
44:23.5,,6.05852,9.38424,9.36716,9.17196,8.75472,,6.05852,9.38424,8.54732,,,
44:24.5,,0,9.71852,7.61524,9.08656,9.04996,,0,9.71852,7.094056,,,
44:25.5,,5.07032,0,0,0,0,,0,5.07032,1.014064,,,
44:26.5,,5.79744,9.56236,8.9426,9.42816,9.37936,,5.79744,9.56236,8.621984,,,
44:27.5,,0,0,0,0,0,,0,0,0,,,
44:28.5,,5.15084,9.51844,9.16464,9.4672,9.49892,,5.15084,9.51844,8.560008,,,
44:29.5,,0,0,0,0,0,,0,0,0,,,
44:30.5,,5.50708,9.54528,9.48428,9.06948,9.25004,,5.50708,9.54528,8.571232,,,
44:31.6,,0,0,0,0,0,,0,0,0,,,
44:32.5,,5.89504,9.0768,8.92064,9.47452,9.53552,,5.89504,9.53552,8.580504,,,
44:33.5,,0,0,0,0,0,,0,0,0,,,
44:34.6,,5.856,9.6136,9.36716,9.28908,9.4062,,5.856,9.6136,8.706408,,,
44:35.5,,0,8.80352,0,0,8.00076,,0,8.80352,3.360856,,,
44:36.6,,5.81452,9.19636,9.52332,8.18376,5.04592,,5.04592,9.52332,7.552776,,,
44:37.5,,0,9.16464,0,8.31064,9.211,,0,9.211,5.337256,,,
44:38.5,,5.37532,8.4302,9.4672,0,0,,0,9.4672,4.654544,,,
44:39.5,,0,9.67216,9.333,6.28056,8.70104,,0,9.67216,6.797352,,,
44:40.6,,0,8.91088,9.16708,6.03412,8.46924,,0,9.16708,6.516264,,,
44:41.6,,2.96704,9.43792,9.57212,0,0.9882,,0,9.57212,4.593056,,,
44:42.6,,6.15612,9.15732,9.40864,8.49608,8.04224,,6.15612,9.40864,8.25208,,,
44:43.6,,0,9.82344,9.44524,6.92228,8.41556,,0,9.82344,6.921304,,,
44:44.6,,3.4648,0,0,0,0,,0,3.4648,0.69296,,,
44:45.6,,0,9.85028,8.89868,9.67704,9.53796,,0,9.85028,7.592792,,,
44:46.6,,3.71368,0,0,0,0,,0,3.71368,0.742736,,,
44:47.6,,0,9.76976,8.92308,9.60628,9.45744,,0,9.76976,7.551312,,,
44:48.6,,0,0,0,0,0,,0,0,0,,,
44:49.6,,0,9.78196,8.31308,9.67948,9.63556,,0,9.78196,7.482016,,,
44:50.6,,0,0,0,0,0,,0,0,0,,,
44:51.6,,5.84624,9.41108,8.8816,9.3818,9.02068,,5.84624,9.41108,8.50828,,,
44:52.6,,0,0,0,0,0,,0,0,0,,,
44:53.6,,0,9.67948,8.54244,9.56236,9.56236,,0,9.67948,7.469328,,,
44:54.6,,0,0,0,0,0,,0,0,0,,,
44:55.6,,3.15736,9.67704,9.1744,9.50868,8.9914,,3.15736,9.67704,8.101776,,,
44:56.6,,0,0,0,0,0,,0,0,0,,,
44:57.6,,5.62176,9.56236,9.01336,9.40132,9.16952,,5.62176,9.56236,8.553664,,,
44:58.6,,0,0,0,0,0,,0,0,0,,,
44:59.6,,0,9.64044,9.09388,9.56236,9.36716,,0,9.64044,7.532768,,,
45:00.6,,0,0,0,0,0,,0,0,0,,,
45:01.6,,5.9048,9.51844,9.62336,8.4546,5.64128,,5.64128,9.62336,7.828496,,,
45:02.6,,0,0,0,0,0,,0,0,0,,,
45:03.6,,6.08536,8.92308,9.53064,8.43264,7.37856,,6.08536,9.53064,8.070056,,,
45:04.6,,0,9.40376,9.55504,0,0,,0,9.55504,3.79176,,,
